Hour,Best_Action,Best_Bill
0,0.91521376,0.11497721821069717
1,1.4859396,0.2702886089682579
2,0.92018414,0.363257072865963
3,0.04664898,0.39001642167568207
4,0.002972126,0.42403994500637054
5,0.00078868866,0.4675404578447342
6,0.00067949295,0.499142125248909
7,-0.7923833,0.499142125248909
8,-0.44133252,0.48989040218293667
9,0.40850338,0.432763634249568
10,-0.44473332,0.17588421516120434
11,-0.14521112,-0.16255912370979786
12,-0.33451667,-0.3572519291192293
13,-0.13538805,-0.5229822564870119
14,-0.28848332,-0.6247474644333124
15,-0.32571667,-0.6730618383735418
16,-1.2475713,-0.6740175535087474
17,-0.8318051,-0.6244003375177272
18,-0.35243332,-0.6244003375177272
19,0.18037093,-0.5856167276506312
20,0.35510013,-0.5066698839073069
21,-0.7177333,-0.5066698839073069
22,-0.21145411,-0.4740260665421374
23,-0.45348334,-0.4740260665421374
24,-0.5455833,-0.4740260665421374
25,-0.37738332,-0.4740260665421374
26,-0.34638333,-0.4740260665421374
27,-0.54151666,-0.4740260665421374
28,-0.16461182,-0.4605512510170229
29,-0.58455,-0.4605512510170229
30,-0.3271,-0.4605512510170229
31,-0.05666125,-0.42713114648358896
32,1.0268824,-0.3880738209118135
33,-0.32241035,-0.6015112738241442
34,-0.56635,-0.8965954820741899
35,0.03221062,-1.1542137603391893
36,-0.16419543,-1.3629149536718614
37,0.8189269,-1.4928921203245409
38,0.18946344,-1.8100589553941973
39,-0.32206666,-2.1084969083894975
40,0.09320736,-2.2992101053823717
41,-0.29575,-2.43445150955813
42,-0.39298454,-2.4237720876117237
43,0.0,-2.393223172344733
44,0.0,-2.336346010037232
45,0.0,-2.281734096177388
46,0.11172825,-2.2024290136178024
47,-0.10550184,-2.17637171439128
48,-0.5746,-2.17637171439128
49,0.36257446,-2.118647961237002
50,0.36200017,-2.0631271175225265
51,-0.20779732,-2.034405611746479
52,0.00046664476,-2.01101861364441
53,1.5738304,-1.8685409820755012
54,0.3636346,-1.805954570241738
55,0.28066006,-1.7610248348792084
56,1.1659794,-1.6969524643500336
57,-1.6137834,-1.9155505172093399
58,-2.0,-2.1640053263981827
59,-1.2922125,-2.470098661549855
60,-1.1082268,-2.731831478246022
61,0.0,-2.789940243877936
62,0.0,-3.020653134502936
63,0.0,-3.1729413180728443
64,0.47582376,-3.1983103885431774
65,-0.45139256,-3.2569304018397816
66,0.099007145,-3.1664802788873203
67,-0.029706772,-2.9474978952785023
68,-0.0615065,-2.7498214154620655
69,0.15665679,-2.637086069502402
70,-0.14818394,-2.578076942183543
71,0.0,-2.5350155255873688
72,0.24064651,-2.4875657542725094
73,-0.04217784,-2.4422939851065166
74,0.3919843,-2.3783945947070606
75,-0.29447943,-2.3636382588301785
76,0.14122441,-2.3112759248469956
77,-0.39726666,-2.3112759248469956
78,-0.85125,-2.3112759248469956
79,-0.56348336,-2.3112759248469956
80,-0.65129817,-2.294982486695517
81,-0.8541,-2.3014121538144536
82,-0.08238874,-2.2622390164178796
83,1.0208056,-2.1420540286344476
84,-0.1768705,-2.150488266546745
85,1.013046,-2.091311378229875
86,0.1311076,-2.0673195587587543
87,0.73613113,-2.0065301301074214
88,-0.34531668,-2.0118649362702854
89,-0.109574154,-1.6518337189336307
90,-0.9546562,-1.431123933114577
91,-0.14828186,-1.357947921671439
92,-0.5303724,-1.3483402107958682
93,-0.36534986,-1.3460316190612502
94,0.0,-1.2548030370962806
95,0.5237456,-1.0844816619646735
96,0.6386404,-0.9093094671261497
97,0.0022456022,-0.7944785932195373
98,1.5139333,-0.5620656738174148
99,-0.37297776,-0.47481581364991143
100,-0.3279606,-0.45967258588643745
101,1.0932226,-0.3567165367421694
102,-0.18648955,-0.3233546063420363
103,-0.48222387,-0.30883995426120237
104,-0.6697,-0.3120911252335645
105,-0.74658203,-0.36291280208388343
106,-0.6691,-0.4390559327439405
107,0.816023,-0.5169032123521902
108,-0.32908332,-0.6388724353746511
109,0.50928444,-0.6921622511581518
110,-0.30435,-0.9789370950893499
111,0.0076503116,-1.1779105123714544
112,1.1195608,-0.9661383089260198
113,-1.5314798,-1.0135894213453867
114,-1.6534331,-1.005229381902609
115,-0.60874015,-0.9570724126533605
116,0.9115506,-0.8265144583419897
117,-1.0507833,-0.8265144583419897
118,0.38763773,-0.7577669229940511
119,1.0507215,-0.6649834421114065
120,-0.63673335,-0.6649834421114065
121,1.7328289,-0.5272855666116811
122,-0.6389833,-0.5272855666116811
123,1.0603063,-0.43438932864228263
124,-0.00262928,-0.39273056579986587
125,1.3330276,-0.26448269380489364
126,0.5854976,-0.14980226947227493
127,-0.63261807,-0.09295886202016845
128,0.74058294,0.017808420525398105
129,0.03766918,-0.15044017328182235
130,0.0025234222,-0.1626451230258681
131,0.0007662773,-0.15582928952062503
132,0.00067806244,-0.17394364398205653
133,0.0006737709,-0.26636655401671305
134,0.0006737709,-0.2859906531521119
135,0.0006737709,-0.26701737340772524
136,0.0006737709,-0.1321396916755475
