Hour,Best_Action,Best_Bill
0,0.0,0.025680416666666664
1,0.0,0.055556583333333326
2,0.0,0.07987849999999999
3,-0.5845374999999998,0.09254347916666665
4,0.0,0.12002439583333331
5,-0.4831125,0.1304918333333333
6,-0.49063749999999995,0.14112231249999996
7,-0.4170624999999999,0.15947306249999996
8,-0.3684249999999999,0.11924526206014927
9,-0.35147500000000004,-0.15787733599802947
10,-0.36636249999999976,-0.7756517210318074
11,-0.4399500000000005,-1.6246844811681114
12,-0.3819625,-2.0859522987762626
13,-0.3155500000000002,-2.5103371549727846
14,-0.3496999999999998,-2.7414368563896536
15,-0.4105875,-2.834850298302093
16,-0.37693749999999987,-2.9709028129180224
17,-0.36444999999999994,-3.0537441927086086
18,-0.7376905263157905,-2.889834142182293
19,0.0,-2.84112205884896
20,0.0,-2.7706241421822932
21,0.0,-2.7249302255156267
22,0.0,-2.6770663921822933
23,0.0,-2.6430096421822933
24,5.0,-2.2885743921822934
25,0.0,-2.2597598921822932
26,0.0,-2.2327599755156267
27,0.0,-2.2112698921822935
28,0.0,-2.18677355884896
29,0.0,-2.158221225515627
30,0.0,-2.1281944755156266
31,0.0,-2.09652105884896
32,-0.4784624999999999,-2.287620306613285
33,-0.49401249999999997,-2.7920077153046803
34,-0.5214625,-3.494954121334216
35,-0.5825124999999997,-4.322407885693067
36,-0.5738374999999993,-5.2084359600270105
37,-0.40693749999999973,-6.107275072648269
38,-0.3331,-6.983051544044812
39,-0.5140375000000006,-7.694877318053578
40,-0.4795625,-8.272150941702556
41,-0.12446210526316034,-8.408240211853062
42,0.0,-8.364433461853062
43,0.0,-8.31922487851973
44,0.0,-8.28011762851973
45,0.0,-8.203337461853062
46,0.0,-8.161291128519728
47,0.0,-8.121090795186396
48,5.0,-7.752770461853062
49,0.0,-7.7191643785197295
50,0.0,-7.667384295186396
51,0.0,-7.644289795186396
52,0.0,-7.615020295186397
53,0.0,-7.561947795186397
54,0.0,-7.539262795186397
55,0.0,-7.500565045186397
56,-0.7384375000000001,-7.681189314401998
57,-0.48304999999999987,-8.195481100272834
58,-0.5749250000000001,-8.906676478124249
59,-0.41000000000000014,-9.759853906075993
60,-0.36764999999999987,-10.671340621191181
61,-0.4456249999999997,-11.581737504306838
62,-0.8882874999999997,-12.417280594041852
63,-0.5636499999999997,-13.163121078241725
64,-0.032786315789475745,-13.652989050038919
