Hour,Best_Action,Best_Bill
0,0.0,0.06103933333333332
1,0.0,0.08362791666666665
2,0.0,0.11345424999999998
3,0.8454943674976914,0.19363246722068325
4,0.0,0.2199433838873499
5,0.0,0.24625430055401656
6,2.0,0.4600382172206833
7,-0.6368333333333333,0.40759617603169024
8,-0.7855499999999999,0.26952749059878367
9,-0.5443833333333332,-0.013638462031236143
10,-0.51785,-0.3862398111591194
11,-0.3709833333333332,-0.683817825381226
12,-0.3956833333333334,-0.8926928330636871
13,-0.2930166666666665,-1.0583162660026875
14,-0.2150333333333332,-1.1970177022555704
15,-0.2036,-1.3123882533250582
16,-0.3482166666666666,-1.391054760758501
17,-0.2810666666666666,-1.3958992589921286
18,-1.00125,-1.3996208938136123
19,0.0,-0.916114101030346
20,0.0,-0.6528944858144525
21,0.0,-0.5894816495992381
22,0.0,-0.28169586015508497
23,0.0,-0.2666614554273904
24,0.0,-0.24573858262037285
25,2.0,-0.09241333262037285
26,2.0,0.06080141737962713
27,2.0,0.21854991737962712
28,0.0,0.23917063828287982
29,0.4757643582640752,0.29669223823671137
30,0.0,0.3284458215700447
31,-0.5310833333333332,0.22957174445170486
32,-0.6641166666666667,-0.02528230531037784
33,-0.44620000000000004,-0.34383275687836845
34,-0.6290833333333334,-0.7032301855366045
35,-0.629083333333333,-1.1295679556555278
36,-0.5855833333333331,-1.5413420917517047
37,-0.5855833333333331,-1.9394890352615477
38,-0.5875666666666666,-2.21072649723281
39,-0.5875666666666666,-2.460427330485872
40,-0.5875666666666666,-2.589779418148321
41,0.0,-2.556769282566632
42,0.0,-2.357419469076205
43,0.0013473684210526318,-2.2610044626623957
44,0.0,-2.151034288571491
45,0.44160737572628084,-2.0558900895828067
46,-0.3967333333333336,-2.0652796896406596
47,0.0,-2.0362032324521167
48,1.9999999999999998,-1.8692203991187832
49,0.0,-1.8263160657854498
50,2.0,-1.6544224824521165
51,2.0,-1.4839175802586613
52,0.74021052631579,-1.3838821290103507
53,0.0,-1.3424011518982584
54,0.0,-1.3064912285687393
55,-0.4536833333333333,-1.4178927283614184
56,-0.5853999999999999,-1.6474344407248445
57,-0.5854,-2.005262691356165
58,-0.5854,-2.4404850500957527
59,-0.5854,-2.8825567920669224
60,-0.638983333333333,-3.3398132026904253
61,-0.5875666666666666,-3.783206513604193
62,-0.6290833333333334,-4.180438988170962
63,-0.5179333333333331,-4.46540759499947
64,-0.46809533333333353,-4.566244555776383
65,-0.43636666666666685,-4.592203862296083
66,0.004042105263157895,-4.136952014285382
67,0.0,-4.0403837211976645
68,0.0,-3.9304135562959948
69,0.0,-3.812264221388545
70,0.0,-3.7651858449674944
71,0.0,-3.7184508852131106
72,2.0000000000000004,-3.5597728852131105
73,2.0,-3.3938473852131104
74,0.0,-3.3498064673200667
75,2.0,-3.176702495914263
76,0.7402105263157893,-3.093396688798512
77,0.0,-3.072676432282936
78,0.0013473684210521092,-2.98936296773484
79,-0.9814166666666664,-3.0225806034063254
80,-1.4232333333333331,-3.1376421071363083
81,-1.0280936107943046,-3.3716616373064427
82,0.0,-3.6691667915859782
83,0.0,-4.022323884774999
84,-0.4368,-4.373221507497103
85,0.0,-4.695374325116462
86,0.0,-4.967785123413918
87,0.0,-5.1420873572164405
88,0.0,-5.1879454884566005
89,-0.2031603892056945,-5.1879454884566005
90,-2.0,-4.942390844803071
91,0.003368421052631579,-4.678952294206095
92,0.0,-4.420797753445582
93,0.0,-4.233606476384558
94,0.0,-4.1800909610079735
95,0.0,-4.153687943617381
96,0.0,-4.1222643208103635
97,0.0,-4.0845270313366795
98,2.0,-3.9146625313366794
99,0.0,-3.875463198003346
100,1.3446086795937204,-3.752582300496421
101,2.0,-3.586234300496421
102,0.0,-3.5327360504964207
103,-0.7126333333333332,-3.581722299870512
104,-0.67815,-3.701388107229378
105,-0.6442333333333332,-4.0092303787384775
106,-0.4309666666666665,-4.412526486658393
107,-0.26721666666666666,-4.807140874513482
108,-0.24355000000000002,-5.144663477368559
109,-0.2811166666666667,-5.498354141541429
110,-0.2811166666666667,-5.748231709536992
111,-0.2811166666666667,-5.853994835355743
112,-0.28295000000000003,-5.963972393332933
113,-0.2811166666666666,-5.970211191448906
114,-0.42596666666666655,-5.970211279292104
115,0.0,-5.941836662381898
116,0.0,-5.754564094145032
117,0.0,-5.566318719017926
118,0.0,-5.5110991032431205
119,0.0,-5.480836226120636
120,0.0,-5.447819019980285
121,2.0,-5.290954519980285
122,0.0,-5.2573343533136185
123,0.0,-5.224518019980286
124,1.33457137580794,-5.10163738055277
125,2.0,-4.92255913055277
126,0.0,-4.8692757400553415
127,-0.8292,-4.936740499912674
128,-0.67815,-5.163000582347263
129,-0.5378166666666666,-5.456935868405518
130,-0.2786333333333335,-5.727750277374369
131,-0.2737666666666665,-6.055498756561083
132,-0.2737666666666665,-6.340488543770906
133,-0.3231666666666664,-6.587434371853241
134,-0.29705000000000004,-6.779034089550312
135,-0.30108333333333337,-6.960974468588178
136,-0.3722166666666665,-7.028945468588178
137,-0.3256666666666666,-7.036668771781414
138,-0.30995,-7.036668864961614
139,0.0,-6.849948816133696
140,0.0,-6.75593178248868
141,0.0,-6.56768642138376
142,0.0,-6.479990629589988
143,0.0,-6.4293762474287375
144,1.6230382271468151,-6.288128762664194
145,2.0,-6.125238762664194
146,0.0,-6.109689679330861
147,0.0,-6.078513512664195
148,0.0,-6.051734054330861
149,0.0,-6.005180415328253
150,0.0,-5.929261949960813
151,-0.2333666666666666,-5.962183967792175
152,-0.33630000000000004,-6.085237909407437
153,-0.30605000000000004,-6.395223318094734
154,-0.44366666666666665,-6.724269711218809
155,-0.2524333333333333,-7.027398989232842
156,-0.1892,-7.313971302362645
157,-0.3482166666666666,-7.542343019579791
158,-0.21318333333333328,-7.817320490071281
