Hour,Best_Action,Best_Bill
0,0.0,0.010058208333333332
1,1.380323545706371,0.10858998880424744
2,0.0,0.12146432213758078
3,0.0,0.13351803047091412
4,0.0,0.14403448880424746
5,0.0,0.15428011380424747
6,0.0,0.16630186380424747
7,-0.15609166666666666,0.16630186380424747
8,-0.1542583333333333,0.10151239669773014
9,-0.2504416666666667,-0.1990418680271152
10,-0.769,-0.8412404197275598
11,-0.2903583333333337,-1.7196031798638636
12,-0.31520000000000004,-2.2063351641386815
13,-0.3600333333333334,-2.65175668700187
14,-0.1954499999999999,-2.9061697217520726
15,-0.14852500000000002,-3.0269557217520724
16,-0.15265833333333334,-3.188137403034668
17,-0.8245083333333334,-3.295275449491921
18,-0.654625,-3.295275449491921
19,0.0,-3.282792741158588
20,0.0,-3.2610399494919213
21,0.0,-3.238750366158588
22,0.0,-3.2220708244919214
23,0.0,-3.212630116158588
24,1.1083198522622346,-3.1325959507615426
25,0.0,-3.1216651174282095
26,0.0,-3.1084928674282093
27,2.0,-2.969368492428209
28,0.0,-2.960026909094876
29,0.0,-2.9497688257615424
30,0.0,-2.940856784094876
31,0.0,-2.930976784094876
32,-0.256625,-3.153973531859201
33,-0.2631416666666664,-3.691295107217263
34,-0.49234166666666646,-4.429005679913465
35,-0.3579249999999998,-5.295293610938983
36,-0.252558333333333,-6.219577518606259
37,-0.26735833333333314,-7.145545797894185
38,-0.10068333333333346,-8.043528935957394
39,-0.18196666666666683,-8.789623876632826
40,-0.2723416666666667,-9.398868333615136
41,-0.34572500000000006,-9.736971849379676
42,0.0,-9.70760268271301
43,0.0,-9.66591168271301
44,0.0,-9.62991955771301
45,0.0,-9.593895474379677
46,0.0,-9.561456141046344
47,0.0,-9.54264893271301
48,1.3454759002770085,-9.442878749195005
49,0.0,-9.429572165861671
50,0.0,-9.415537582528337
51,2.0,-9.271970457528337
52,0.0,-9.25963779086167
53,0.0,-9.243809749195002
54,2.0,-9.103234249195001
55,0.0,-9.093199874195001
56,-0.232375,-9.323053310077269
57,-0.27541666666666664,-9.869548429281439
58,-0.3271666666666668,-10.619072140466185
59,-0.6716583333333332,-11.499582901751264
60,-0.4442166666666667,-12.435579616866452
61,-0.5285333333333337,-13.375684833315443
62,-0.4353749999999996,-14.270447089717123
63,-0.42458333333333353,-15.053864240583662
64,-0.4343166666666667,-15.658014949222961
65,-1.0360583333333335,-15.993076467956492
66,0.0,-15.952645384623159
67,0.0,-15.889457259623159
68,0.0,-15.855297592956491
69,0.0,-15.816460634623159
70,0.0,-15.80344275962316
71,0.0,-15.796412467956493
72,1.9999999999999998,-15.65880475962316
73,0.5166947368421051,-15.617474851728424
74,0.0,-15.610491685061758
75,0.0,-15.602973893395092
76,0.0,-15.594971310061759
77,2.0,-15.453031351728425
78,0.0,-15.437732518395093
79,-0.18170000000000006,-15.437732518395093
80,-0.38084166666666647,-15.437732518395093
81,-0.4254083333333333,-15.45380669045806
82,-0.58625,-15.483565700523576
83,-0.7154583333333334,-15.541514071004631
84,-0.22725,-15.595308903889066
85,-0.380825,-15.729986508374102
86,-0.3569583333333333,-15.809778268373618
87,-0.20895833333333327,-15.890078617315256
88,-0.23085833333333328,-15.90341563538239
89,-0.17169166666666666,-15.903955643211454
90,-0.195525,-15.903955643211454
91,0.0,-15.888441226544787
92,0.0,-15.867113643211454
93,0.0,-15.839846143211453
