Hour,Best_Action,Best_Bill
0,0.029252023,0.018359379842877388
1,-0.32298332,0.018359379842877388
2,-0.30628332,0.018359379842877388
3,0.45237362,0.06578707881271839
4,-0.22495,0.06578707881271839
5,-0.33376667,0.06578707881271839
6,0.32997066,0.11477241851389408
7,0.5659559,0.22362699545919895
8,-0.36201668,0.21066910307854414
9,-0.30018333,0.15055825095623732
10,0.30854613,0.05536904465407133
11,-0.54473335,-0.12030350137501955
12,1.2332463,-0.1545813838019967
13,-0.40571666,-0.24366568122059107
14,0.8399697,-0.2443081668461673
15,-0.28696668,-0.268465353816282
16,-0.3104,-0.30070169147802517
17,-0.44478333,-0.3221293005044572
18,-1.7295396,-0.1804083349998109
19,-0.5443,-0.1804083349998109
20,-0.31999967,-0.1733243970084004
21,0.0,-0.14941956306574866
22,0.0,-0.12278256396530196
23,0.3703718,-0.03786406497238204
24,-0.8131833,-0.03786406497238204
25,-0.56766665,-0.03786406497238204
26,0.17482102,-0.008790366526227444
27,-0.30025,-0.008790366526227444
28,-0.3707,-0.008790366526227444
29,-0.26308492,-0.00422205327777192
30,-0.28203332,-0.00422205327777192
31,-0.21731667,-0.00422205327777192
32,-0.28160998,-0.04604646860389039
33,1.2967527,-0.085208005446475
34,0.83138305,-0.19058480038074777
35,-0.39366665,-0.36384237481979653
36,-0.36401743,-0.5245531864347868
37,1.3634615,-0.5302857129718177
38,-1.6374667,-0.7098823456908576
39,1.7982264,-0.7579716115142219
40,0.79879266,-0.7543032057001255
41,-0.6455255,-0.7468331800191663
42,-1.8204618,-0.7422796124010347
43,-0.7623343,-0.7232845117687248
44,0.0,-0.6732041788636707
45,0.0,-0.6283325170516036
46,0.0010331272,-0.5893292826949619
47,0.50059754,-0.48994769429555163
48,-0.41878814,-0.47801833966514096
49,-0.29798332,-0.47801833966514096
50,-0.24453333,-0.47801833966514096
51,1.4525372,-0.364712264330592
52,-0.23548333,-0.364712264330592
53,0.2704051,-0.3303865156485699
54,-0.25978333,-0.3303865156485699
55,0.36388424,-0.2880443706526421
56,-0.36921668,-0.33401505643269047
57,-0.015321283,-0.427448928297963
58,-0.31166667,-0.577353656233754
59,-0.25475,-0.7534557878389023
60,-1.1435261,-0.8573528453125618
61,-1.4362168,-0.995940558554139
62,0.0,-1.162132985831704
63,0.09806461,-1.3014944865717553
64,-0.09252138,-1.3965834825648926
65,0.0,-1.4055131216882728
66,0.0,-1.2004272927879356
67,0.0,-1.1340492953895591
68,0.0,-1.0844835480093025
69,0.0,-1.063710632675793
70,0.0,-1.0451022153138183
71,0.0,-1.026697467023041
72,0.46024153,-0.9817765196203254
73,-0.27795,-0.9817765196203254
74,-0.2178,-0.9817765196203254
75,-0.3453,-0.9817765196203254
76,-0.28323334,-0.9817765196203254
77,1.5002875,-0.855010001861956
78,-0.31541666,-0.855010001861956
79,-0.18806666,-0.855010001861956
80,-0.19371666,-0.855010001861956
81,0.035023984,-0.8330469903885387
82,-0.18003333,-0.8389987931004725
83,0.17383088,-0.8306103241047822
84,-0.2005,-0.8413692884496413
85,-0.18936667,-0.8683048081002198
86,1.1684905,-0.76624916162109
87,0.21485041,-0.7615054207271896
88,-0.5387792,-0.6899085300392471
89,-0.71369016,-0.6262436392134987
90,-0.4709,-0.6262436392134987
91,0.83982754,-0.514799352211412
92,-0.6353833,-0.514799352211412
93,0.63700813,-0.41344757698243484
94,-0.3650073,-0.38987905479734764
95,-0.29095,-0.38987905479734764
96,-0.31173334,-0.38987905479734764
97,1.4337653,-0.27953839994734153
98,0.32393607,-0.24547388724749908
99,0.26664272,-0.2144931959337555
100,-0.2215,-0.2144931959337555
101,1.3244941,-0.10083350114291534
102,0.58374166,-0.041276711446698755
103,-0.1789,-0.041276711446698755
104,0.2187829,0.0072500003152526915
105,0.011579037,-0.01381439290707931
106,-0.18918334,-0.05188596196239814
107,-0.30738333,-0.14111784793203697
108,0.4296183,-0.17489172465866432
109,-0.21693334,-0.2417693430907093
110,-0.21126667,-0.38515676505630836
111,-0.1885,-0.4983628237969242
112,-0.057529043,-0.5101625820971094
113,-1.9426675,-0.5470449826098047
114,-0.7579333,-0.5470449826098047
115,0.22289619,-0.4918905621743761
116,-0.86523336,-0.4918905621743761
117,-0.81348336,-0.4918905621743761
118,-0.6205736,-0.48686326056485996
119,0.9418486,-0.402019937930163
120,-0.26583335,-0.402019937930163
121,-0.21715,-0.402019937930163
122,1.5712246,-0.28292425483232364
123,1.8726811,-0.14799631148343906
124,0.43925285,-0.10457612707978114
125,0.022602558,-0.06189587846165523
126,0.0017700195,-0.032565494475420564
127,0.0007286072,0.01423228025669232
128,-0.30636665,-0.011421858740504831
129,-0.30266666,-0.11315159447258338
130,-0.26101667,-0.13367433793609962
131,-0.29045,-0.15103996865218505
132,1.2248149,-0.060202378255780786
133,0.06188059,-0.1068375626928173
134,0.0037341118,-0.11922386515652761
135,-0.30526668,-0.1268050800426863
136,-1.8968074,-0.1247601569048129
137,-0.75708336,-0.1260809528757818
138,-0.91926664,-0.1260809528757818
139,-0.92516667,-0.1260809528757818
140,1.87844,0.046369887597393245
141,-0.31665,0.046369887597393245
142,-0.26755,0.046369887597393245
143,-0.30133334,0.046369887597393245
144,-0.24293333,0.046369887597393245
145,1.7291957,0.17766310990555212
146,-0.24145,0.17766310990555212
147,0.7226197,0.24112822086317465
148,-0.3621,0.24112822086317465
149,0.6501854,0.3145166036556475
150,1.147974,0.4334898215602152
151,0.05803871,0.46968273044331
152,-0.26088333,0.467651795304846
153,-0.20223333,0.45226830866886303
154,-0.11784979,0.40942784649087116
155,-0.26315,0.3700063514406793
156,0.5816272,0.33440868061734363
157,-0.24468334,0.2892012844677083
158,-0.24876666,0.24276749667478725
159,-0.26849428,0.17907826480222866
160,-1.0471386,0.11340709653450176
161,-1.3118334,0.04937431094003841
162,-0.71593904,0.06420815986348316
163,-1.056464,0.06434483747580089
164,-0.7826667,0.06434483747580089
165,-0.0774195,0.08762115161516704
166,1.3042668,0.20871507297852077
167,-0.5744,0.20871507297852077
168,-0.5272833,0.20871507297852077
169,-0.07997183,0.22691365439095534
170,-0.35631666,0.22691365439095534
171,-0.29956666,0.22691365439095534
172,-0.21648037,0.23322968059801497
173,-0.4678,0.23322968059801497
174,0.31692928,0.28530849763774313
175,-0.28536665,0.28530849763774313
176,-0.24153334,0.24225936332368292
177,-0.39016667,0.13986609378480352
178,0.8469744,0.04587101438664831
179,-0.42383334,-0.11987877389765345
180,-0.2956,-0.296468128770357
181,-0.38133332,-0.4727340688405093
182,1.5495745,-0.5665769924817141
183,1.064608,-0.6609821071324404
184,0.9672306,-0.7206954707799014
185,-1.7952794,-0.7602112790045794
186,-0.93546665,-0.7602112790045794
187,0.21060103,-0.7102836271224078
188,-0.42816666,-0.7102836271224078
189,0.5027946,-0.639589977770811
190,-0.55308336,-0.639589977770811
191,-0.2897431,-0.6373177790956106
192,-0.30006668,-0.6373177790956106
193,1.4107481,-0.5278156498388853
194,-0.29011667,-0.5278156498388853
195,-0.28663334,-0.5278156498388853
196,-0.37841666,-0.5278156498388853
197,-0.31673333,-0.5278156498388853
198,-0.2622,-0.5278156498388853
199,-0.27428332,-0.5278156498388853
200,-0.43416667,-0.5294780054537114
201,0.042575944,-0.4980879382637795
202,-1.1701214,-0.6248556779173668
203,1.0649852,-0.7069216476229485
204,-0.27931666,-0.8883959458617028
205,-0.5898833,-1.068753700092202
206,0.5977947,-1.1954705820826348
207,-0.41848335,-1.3439297632721718
208,-0.33711666,-1.4617383958247956
209,-0.30363333,-1.5311725170759019
210,-0.21070364,-1.528066838014638
211,0.97067684,-1.4134202691202518
212,-0.48998332,-1.4134202691202518
213,-0.33028334,-1.4134202691202518
214,0.25168225,-1.3699591735785361
215,0.60019255,-1.3120901601796504
216,0.2967883,-1.2744624222104903
217,-0.22706667,-1.2744624222104903
218,-0.23105,-1.2744624222104903
219,-0.24423334,-1.2744624222104903
220,0.22160245,-1.2440931814198848
221,-0.2451,-1.2440931814198848
222,-0.23525,-1.2440931814198848
223,0.71439654,-1.1687562408333179
224,-0.73805046,-1.1688923206238542
225,0.25539827,-1.2399738844542298
226,1.5299807,-1.2999960746674333
227,-0.27788332,-1.4711987044720445
228,0.29942033,-1.6310035850910936
229,1.9183426,-1.6612042285560165
230,0.54917765,-1.6844427924661431
231,0.028098583,-1.805885289242724
232,-0.54095,-1.9242362942604814
233,-0.5416333,-1.9943422269134317
234,-0.7216333,-1.9943422269134317
235,-0.58033335,-1.9943422269134317
236,0.014327862,-1.9522355835943017
