Hour,Best_Action,Best_Bill
0,-0.16626462162969013,0.008545466260736805
1,-0.30225,0.008545466260736805
2,-0.3439666666666666,0.008545466260736805
3,-0.37935,0.008545466260736805
4,-0.36905,0.008545466260736805
5,-0.7919818469919104,0.014118229539595956
6,-0.43969699670850715,0.018205841420209645
7,-0.3551333333333333,0.018205841420209645
8,-0.36415,0.005247947998906181
9,-0.3658,-0.054862904946062885
10,0.07608078802300677,-0.1661180504318982
11,-0.3629666666666666,-0.34179060245915893
12,0.2962824968548359,-0.4131856994399291
13,-0.21391666666666664,-0.5022700040125668
14,-0.21241666666666664,-0.5531526109626074
15,-0.21753333333333327,-0.5773097993450953
16,-0.3302666666666666,-0.6095461356016144
17,-0.21798333333333328,-0.630973744893065
18,-0.2036,-0.630973744893065
19,-0.19913333333333327,-0.630973744893065
20,-0.1827833333333333,-0.630973744893065
21,-0.1708,-0.630973744893065
22,-0.22126666666666664,-0.630973744893065
23,-0.16955,-0.630973744893065
24,-0.18821666666666664,-0.630973744893065
25,-0.21625,-0.630973744893065
26,-0.1438833333333333,-0.630973744893065
27,-0.2142,-0.630973744893065
28,-0.19233333333333327,-0.630973744893065
29,-0.19925,-0.630973744893065
30,-0.22306666666666666,-0.630973744893065
31,-0.1554,-0.630973744893065
32,-0.1962,-0.67557309444593
33,-0.21381666666666665,-0.7830374095175424
34,-0.16525,-0.9305795240567829
35,-0.2387333333333333,-1.1038371102618865
36,-0.21358333333333326,-1.2886938917953419
37,-0.17876666666666666,-1.473887547652927
38,-0.2304,-1.653484175265569
39,-0.28365,-1.8027031634006554
40,-0.3012333333333333,-1.9245520547971176
41,-0.36565,-1.9921727579500257
42,-0.35245,-1.9921727579500257
43,-0.3004333333333333,-1.9921727579500257
44,-0.3483666666666666,-1.9921727579500257
45,-0.4658833333333332,-1.9921727579500257
46,-0.3388333333333333,-1.9921727579500257
47,-0.17555,-1.9921727579500257
48,-0.17461666666666664,-1.9921727579500257
49,-0.20326666666666665,-1.9921727579500257
50,-0.18878333333333328,-1.9921727579500257
51,-0.19528333333333328,-1.9921727579500257
52,-0.2276333333333333,-1.9921727579500257
53,-0.2336833333333333,-1.9921727579500257
54,-0.19675,-1.9921727579500257
55,-0.19246666666666665,-1.9921727579500257
56,-0.21286666666666665,-2.038143445126479
57,-0.2420666666666666,-2.1474424689673133
58,-0.2283,-2.2973472112042628
59,-0.2629666666666666,-2.4734493634612784
60,-0.22078333333333328,-2.660648706484316
61,-0.22295,-2.848669749774114
62,-0.21713333333333326,-3.02762220105445
63,-0.22956666666666664,-3.184305631227758
64,-0.2997333333333333,-3.3051357729556177
