localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,month,hour,use_hour,use_week,ac,ac_hour,ac_week
2016-01-08 00:00:00,0.43516666666666654,50.62,0.17,2.71,-2.7223,1,1.0,0.0,1.3573166666666667,1.1571666666666671,0.0,0.0,0.0
2016-01-08 01:00:00,0.3758,49.06,0.15,2.29,-1.88293,1,1.0,1.0,0.43516666666666654,1.9914666666666667,0.0,0.0,0.0
2016-01-08 02:00:00,0.5114166666666666,47.83,0.13,3.21,-2.06407,1,1.0,2.0,0.3758,2.0856,0.0,0.0,0.0
2016-01-08 03:00:00,0.3983833333333333,46.86,0.08,2.22,-2.11499,1,1.0,3.0,0.5114166666666666,3.468183333333333,0.0,0.0,0.0
2016-01-08 04:00:00,2.1946166666666667,45.89,0.08,1.21,-2.3816900000000003,1,1.0,4.0,0.3983833333333333,3.515983333333333,0.0,0.0,0.0
2016-01-08 05:00:00,2.8538666666666668,46.02,0.13,2.18,-1.84323,1,1.0,5.0,2.1946166666666667,2.3433,0.0,0.0,0.0
2016-01-08 06:00:00,3.5282666666666667,45.42,0.21,2.74,-2.04171,1,1.0,6.0,2.8538666666666668,1.2824,0.0,0.0,0.0
2016-01-08 07:00:00,2.673516666666667,45.25,0.29,2.52,-1.87128,1,1.0,7.0,3.5282666666666667,3.353533333333333,0.0,0.0,0.0
2016-01-08 08:00:00,0.6735333333333332,46.18,0.2,1.07,44.695,1,1.0,8.0,2.673516666666667,3.5611333333333333,0.32394733553258664,0.0,0.0
2016-01-08 09:00:00,1.7156833333333332,48.91,0.2,1.04,200.065,1,1.0,9.0,0.6735333333333332,4.895366666666666,1.5027713236242268,0.32394733553258664,0.08307425708749366
2016-01-08 10:00:00,0.6774166666666666,51.99,0.83,1.02,417.158,1,1.0,10.0,1.7156833333333332,2.440583333333333,3.210992758502223,1.5027713236242268,0.4113721264699126
2016-01-08 11:00:00,0.47915,55.57,0.87,2.1,718.319,1,1.0,11.0,0.6774166666666666,2.2349,4.391813800681518,3.210992758502223,0.3213061855728509
2016-01-08 12:00:00,0.49115,60.05,0.4,4.03,477.962,1,1.0,12.0,0.47915,1.763966666666667,2.43365992137409,4.391813800681518,0.23457517267784486
2016-01-08 13:00:00,0.5892333333333332,61.63,0.4,3.96,460.8130000000001,1,1.0,13.0,0.49115,4.1288833333333335,2.2271076143159423,2.43365992137409,0.2649890320074589
2016-01-08 14:00:00,1.5523,62.8,0.37,3.02,317.875,1,1.0,14.0,0.5892333333333332,6.48505,1.272065173751013,2.2271076143159423,0.28555578469387977
2016-01-08 15:00:00,0.4936666666666666,63.67,0.2,2.97,183.556,1,1.0,15.0,1.5523,5.349033333333333,0.603929709562198,1.272065173751013,0.8129302061717937
2016-01-08 16:00:00,0.52365,63.98,0.26,2.35,173.593,1,1.0,16.0,0.4936666666666666,1.1654333333333329,0.8059084064129786,0.603929709562198,0.015444166396585
2016-01-08 17:00:00,0.45805,63.02,0.28,1.71,76.5486,1,1.0,17.0,0.52365,0.9701666666666664,0.5356902322862644,0.8059084064129786,0.0
2016-01-08 18:00:00,0.6773833333333332,60.52,0.24,0.48,-0.985291,1,1.0,18.0,0.45805,3.47445,0.0,0.5356902322862644,0.0
2016-01-08 19:00:00,2.574266666666667,58.16,0.16,0.26,-3.35366,1,1.0,19.0,0.6773833333333332,3.516383333333333,0.0,0.0,0.0
2016-01-08 20:00:00,0.6556166666666666,55.61,0.11,0.82,-2.92939,1,1.0,20.0,2.574266666666667,3.3922166666666667,0.0,0.0,0.0
2016-01-08 21:00:00,0.6624666666666666,55.71,0.36,2.13,-2.94151,1,1.0,21.0,0.6556166666666666,2.1776833333333334,0.0,0.0,0.0
2016-01-08 22:00:00,0.5854333333333333,55.53,0.5,2.62,-2.72099,1,1.0,22.0,0.6624666666666666,0.8609666666666665,0.0,0.0,0.0
2016-01-08 23:00:00,0.4323,55.39,0.35,5.08,-2.72138,1,1.0,23.0,0.5854333333333333,2.75825,0.0,0.0,0.0
2016-01-09 00:00:00,0.4677166666666666,54.77,0.65,5.57,-2.72138,0,1.0,0.0,0.4323,3.130033333333333,0.0,0.0,0.0
2016-01-09 01:00:00,0.4546833333333333,54.17,0.4,4.35,-1.70653,0,1.0,1.0,0.4677166666666666,3.1517,0.0,0.0,0.0
2016-01-09 02:00:00,0.4833833333333332,52.12,0.2,4.93,-2.72138,0,1.0,2.0,0.4546833333333333,2.03955,0.0,0.0,0.0
