Hour,price
1,0.065
2,0.065
3,0.065
4,0.065
5,0.065
6,0.065
7,0.065
8,0.132
9,0.132
10,0.132
11,0.132
12,0.094
13,0.094
14,0.094
15,0.094
16,0.094
17,0.094
18,0.132
19,0.132
20,0.065
21,0.065
22,0.065
23,0.065
24,0.065
25,0.065
26,0.065
27,0.065
28,0.065
29,0.065
30,0.065
31,0.065
32,0.065
33,0.065
34,0.065
35,0.065
36,0.065
37,0.065
38,0.065
39,0.065
40,0.065
41,0.065
42,0.065
43,0.065
44,0.065
45,0.065
46,0.065
47,0.065
48,0.065
49,0.065
50,0.065
51,0.065
52,0.065
53,0.065
54,0.065
55,0.065
56,0.065
57,0.065
58,0.065
59,0.065
60,0.065
61,0.065
62,0.065
63,0.065
64,0.065
65,0.065
66,0.065
67,0.065
68,0.065
69,0.065
70,0.065
71,0.065
72,0.065
73,0.065
74,0.065
75,0.065
76,0.065
77,0.065
78,0.065
79,0.065
80,0.132
81,0.132
82,0.132
83,0.132
84,0.094
85,0.094
86,0.094
87,0.094
88,0.094
89,0.094
90,0.132
91,0.132
92,0.065
93,0.065
94,0.065
95,0.065
96,0.065
97,0.065
98,0.065
99,0.065
100,0.065
101,0.065
102,0.065
103,0.065
104,0.132
105,0.132
106,0.132
107,0.132
108,0.094
109,0.094
110,0.094
111,0.094
112,0.094
113,0.094
114,0.132
115,0.132
116,0.065
117,0.065
118,0.065
119,0.065
120,0.065
121,0.065
122,0.065
123,0.065
124,0.065
125,0.065
126,0.065
127,0.065
128,0.132
129,0.132
130,0.132
131,0.132
132,0.094
133,0.094
134,0.094
135,0.094
136,0.094
137,0.094
138,0.132
139,0.132
140,0.065
141,0.065
142,0.065
143,0.065
144,0.065
145,0.065
146,0.065
147,0.065
148,0.065
149,0.065
150,0.065
151,0.065
152,0.132
153,0.132
154,0.132
155,0.132
156,0.094
157,0.094
158,0.094
159,0.094
160,0.094
161,0.094
162,0.132
163,0.132
164,0.065
165,0.065
166,0.065
167,0.065
168,0.065
169,0.065
170,0.065
171,0.065
172,0.065
173,0.065
174,0.065
175,0.065
176,0.132
177,0.132
178,0.132
179,0.132
180,0.094
181,0.094
182,0.094
183,0.094
184,0.094
185,0.094
186,0.132
187,0.132
188,0.065
189,0.065
190,0.065
191,0.065
192,0.065
193,0.065
194,0.065
195,0.065
196,0.065
197,0.065
198,0.065
199,0.065
200,0.065
201,0.065
202,0.065
203,0.065
204,0.065
205,0.065
206,0.065
207,0.065
208,0.065
209,0.065
210,0.065
211,0.065
212,0.065
213,0.065
214,0.065
215,0.065
216,0.065
217,0.065
218,0.065
219,0.065
220,0.065
221,0.065
222,0.065
223,0.065
224,0.065
225,0.065
226,0.065
227,0.065
228,0.065
229,0.065
230,0.065
231,0.065
232,0.065
233,0.065
234,0.065
235,0.065
236,0.065
237,0.065
238,0.065
239,0.065
240,0.065
241,0.065
242,0.065
243,0.065
244,0.065
245,0.065
246,0.065
247,0.065
248,0.132
249,0.132
250,0.132
251,0.132
252,0.094
253,0.094
254,0.094
255,0.094
256,0.094
257,0.094
258,0.132
259,0.132
260,0.065
261,0.065
262,0.065
263,0.065
264,0.065
265,0.065
266,0.065
267,0.065
268,0.065
269,0.065
270,0.065
271,0.065
272,0.132
273,0.132
274,0.132
275,0.132
276,0.094
277,0.094
278,0.094
279,0.094
280,0.094
281,0.094
282,0.132
283,0.132
284,0.065
285,0.065
286,0.065
287,0.065
288,0.065
289,0.065
290,0.065
291,0.065
292,0.065
293,0.065
294,0.065
295,0.065
296,0.132
297,0.132
298,0.132
299,0.132
300,0.094
301,0.094
302,0.094
303,0.094
304,0.094
305,0.094
306,0.132
307,0.132
308,0.065
309,0.065
310,0.065
311,0.065
312,0.065
313,0.065
314,0.065
315,0.065
316,0.065
317,0.065
318,0.065
319,0.065
320,0.132
321,0.132
322,0.132
323,0.132
324,0.094
325,0.094
326,0.094
327,0.094
328,0.094
329,0.094
330,0.132
331,0.132
332,0.065
333,0.065
334,0.065
335,0.065
336,0.065
337,0.065
338,0.065
339,0.065
340,0.065
341,0.065
342,0.065
343,0.065
344,0.132
345,0.132
346,0.132
347,0.132
348,0.094
349,0.094
350,0.094
351,0.094
352,0.094
353,0.094
354,0.132
355,0.132
356,0.065
357,0.065
358,0.065
359,0.065
360,0.065
361,0.065
362,0.065
363,0.065
364,0.065
365,0.065
366,0.065
367,0.065
368,0.065
369,0.065
370,0.065
371,0.065
372,0.065
373,0.065
374,0.065
375,0.065
376,0.065
377,0.065
378,0.065
379,0.065
380,0.065
381,0.065
382,0.065
383,0.065
384,0.065
385,0.065
386,0.065
387,0.065
388,0.065
389,0.065
390,0.065
391,0.065
392,0.065
393,0.065
394,0.065
395,0.065
396,0.065
397,0.065
398,0.065
399,0.065
400,0.065
401,0.065
402,0.065
403,0.065
404,0.065
405,0.065
406,0.065
407,0.065
408,0.065
409,0.065
410,0.065
411,0.065
412,0.065
413,0.065
414,0.065
415,0.065
416,0.132
417,0.132
418,0.132
419,0.132
420,0.094
421,0.094
422,0.094
423,0.094
424,0.094
425,0.094
426,0.132
427,0.132
428,0.065
429,0.065
430,0.065
431,0.065
432,0.065
433,0.065
434,0.065
435,0.065
436,0.065
437,0.065
438,0.065
439,0.065
440,0.132
441,0.132
442,0.132
443,0.132
444,0.094
445,0.094
446,0.094
447,0.094
448,0.094
449,0.094
450,0.132
451,0.132
452,0.065
453,0.065
454,0.065
455,0.065
456,0.065
457,0.065
458,0.065
459,0.065
460,0.065
461,0.065
462,0.065
463,0.065
464,0.132
465,0.132
466,0.132
467,0.132
468,0.094
469,0.094
470,0.094
471,0.094
472,0.094
473,0.094
474,0.132
475,0.132
476,0.065
477,0.065
478,0.065
479,0.065
480,0.065
481,0.065
482,0.065
483,0.065
484,0.065
485,0.065
486,0.065
487,0.065
488,0.132
489,0.132
490,0.132
491,0.132
492,0.094
493,0.094
494,0.094
495,0.094
496,0.094
497,0.094
498,0.132
499,0.132
500,0.065
501,0.065
502,0.065
503,0.065
504,0.065
505,0.065
506,0.065
507,0.065
508,0.065
509,0.065
510,0.065
511,0.065
512,0.132
513,0.132
514,0.132
515,0.132
516,0.094
517,0.094
518,0.094
519,0.094
520,0.094
521,0.094
522,0.132
523,0.132
524,0.065
525,0.065
526,0.065
527,0.065
528,0.065
529,0.065
530,0.065
531,0.065
532,0.065
533,0.065
534,0.065
535,0.065
536,0.065
537,0.065
538,0.065
539,0.065
540,0.065
541,0.065
542,0.065
543,0.065
544,0.065
545,0.065
546,0.065
547,0.065
548,0.065
549,0.065
550,0.065
551,0.065
552,0.065
553,0.065
554,0.065
555,0.065
556,0.065
557,0.065
558,0.065
559,0.065
560,0.065
561,0.065
562,0.065
563,0.065
564,0.065
565,0.065
566,0.065
567,0.065
568,0.065
569,0.065
570,0.065
571,0.065
572,0.065
573,0.065
574,0.065
575,0.065
576,0.065
577,0.065
578,0.065
579,0.065
580,0.065
581,0.065
582,0.065
583,0.065
584,0.132
585,0.132
586,0.132
587,0.132
588,0.094
589,0.094
590,0.094
591,0.094
592,0.094
593,0.094
594,0.132
595,0.132
596,0.065
597,0.065
598,0.065
599,0.065
600,0.065
601,0.065
602,0.065
603,0.065
604,0.065
605,0.065
606,0.065
607,0.065
608,0.132
609,0.132
610,0.132
611,0.132
612,0.094
613,0.094
614,0.094
615,0.094
616,0.094
617,0.094
618,0.132
619,0.132
620,0.065
621,0.065
622,0.065
623,0.065
624,0.065
625,0.065
626,0.065
627,0.065
628,0.065
629,0.065
630,0.065
631,0.065
632,0.132
633,0.132
634,0.132
635,0.132
636,0.094
637,0.094
638,0.094
639,0.094
640,0.094
641,0.094
642,0.132
643,0.132
644,0.065
645,0.065
646,0.065
647,0.065
648,0.065
649,0.065
650,0.065
651,0.065
652,0.065
653,0.065
654,0.065
655,0.065
656,0.132
657,0.132
658,0.132
659,0.132
660,0.094
661,0.094
662,0.094
663,0.094
664,0.094
665,0.094
666,0.132
667,0.132
668,0.065
669,0.065
670,0.065
671,0.065
672,0.065
673,0.065
674,0.065
675,0.065
676,0.065
677,0.065
678,0.065
679,0.065
680,0.132
681,0.132
682,0.132
683,0.132
684,0.094
685,0.094
686,0.094
687,0.094
688,0.094
689,0.094
690,0.132
691,0.132
692,0.065
693,0.065
694,0.065
695,0.065
696,0.065
697,0.065
698,0.065
699,0.065
700,0.065
701,0.065
702,0.065
703,0.065
704,0.065
705,0.065
706,0.065
707,0.065
708,0.065
709,0.065
710,0.065
711,0.065
712,0.065
713,0.065
714,0.065
715,0.065
716,0.065
717,0.065
718,0.065
719,0.065
720,0.065
721,0.065
722,0.065
723,0.065
724,0.065
725,0.065
726,0.065
727,0.065
728,0.065
729,0.065
730,0.065
731,0.065
732,0.065
733,0.065
734,0.065
735,0.065
736,0.065
737,0.065
738,0.065
739,0.065
740,0.065
741,0.065
742,0.065
743,0.065
744,0.065
745,0.065
746,0.065
747,0.065
748,0.065
749,0.065
750,0.065
751,0.065
752,0.132
753,0.132
754,0.132
755,0.132
756,0.094
757,0.094
758,0.094
759,0.094
760,0.094
761,0.094
762,0.132
763,0.132
764,0.065
765,0.065
766,0.065
767,0.065
768,0.065
769,0.065
770,0.065
771,0.065
772,0.065
773,0.065
774,0.065
775,0.065
776,0.132
777,0.132
778,0.132
779,0.132
780,0.094
781,0.094
782,0.094
783,0.094
784,0.094
785,0.094
786,0.132
787,0.132
788,0.065
789,0.065
790,0.065
791,0.065
792,0.065
793,0.065
794,0.065
795,0.065
796,0.065
797,0.065
798,0.065
799,0.065
800,0.132
801,0.132
802,0.132
803,0.132
804,0.094
805,0.094
806,0.094
807,0.094
808,0.094
809,0.094
810,0.132
811,0.132
812,0.065
813,0.065
814,0.065
815,0.065
816,0.065
817,0.065
818,0.065
819,0.065
820,0.065
821,0.065
822,0.065
823,0.065
824,0.132
825,0.132
826,0.132
827,0.132
828,0.094
829,0.094
830,0.094
831,0.094
832,0.094
833,0.094
834,0.132
835,0.132
836,0.065
837,0.065
838,0.065
839,0.065
840,0.065
841,0.065
842,0.065
843,0.065
844,0.065
845,0.065
846,0.065
847,0.065
848,0.132
849,0.132
850,0.132
851,0.132
852,0.094
853,0.094
854,0.094
855,0.094
856,0.094
857,0.094
858,0.132
859,0.132
860,0.065
861,0.065
862,0.065
863,0.065
864,0.065
865,0.065
866,0.065
867,0.065
868,0.065
869,0.065
870,0.065
871,0.065
872,0.065
873,0.065
874,0.065
875,0.065
876,0.065
877,0.065
878,0.065
879,0.065
880,0.065
881,0.065
882,0.065
883,0.065
884,0.065
885,0.065
886,0.065
887,0.065
888,0.065
889,0.065
890,0.065
891,0.065
892,0.065
893,0.065
894,0.065
895,0.065
896,0.065
897,0.065
898,0.065
899,0.065
900,0.065
901,0.065
902,0.065
903,0.065
904,0.065
905,0.065
906,0.065
907,0.065
908,0.065
909,0.065
910,0.065
911,0.065
912,0.065
913,0.065
914,0.065
915,0.065
916,0.065
917,0.065
918,0.065
919,0.065
920,0.132
921,0.132
922,0.132
923,0.132
924,0.094
925,0.094
926,0.094
927,0.094
928,0.094
929,0.094
930,0.132
931,0.132
932,0.065
933,0.065
934,0.065
935,0.065
936,0.065
937,0.065
938,0.065
939,0.065
940,0.065
941,0.065
942,0.065
943,0.065
944,0.132
945,0.132
946,0.132
947,0.132
948,0.094
949,0.094
950,0.094
951,0.094
952,0.094
953,0.094
954,0.132
955,0.132
956,0.065
957,0.065
958,0.065
959,0.065
960,0.065
961,0.065
962,0.065
963,0.065
964,0.065
965,0.065
966,0.065
967,0.065
968,0.132
969,0.132
970,0.132
971,0.132
972,0.094
973,0.094
974,0.094
975,0.094
976,0.094
977,0.094
978,0.132
979,0.132
980,0.065
981,0.065
982,0.065
983,0.065
984,0.065
985,0.065
986,0.065
987,0.065
988,0.065
989,0.065
990,0.065
991,0.065
992,0.132
993,0.132
994,0.132
995,0.132
996,0.094
997,0.094
998,0.094
999,0.094
1000,0.094
1001,0.094
1002,0.132
1003,0.132
1004,0.065
1005,0.065
1006,0.065
1007,0.065
1008,0.065
1009,0.065
1010,0.065
1011,0.065
1012,0.065
1013,0.065
1014,0.065
1015,0.065
1016,0.132
1017,0.132
1018,0.132
1019,0.132
1020,0.094
1021,0.094
1022,0.094
1023,0.094
1024,0.094
